city,state_id,lat,lng,zips
Oceanside,CA,33.2247,-117.3083,92058 92054 92057 92056 92049 92051 92052 92068
Vallejo,CA,38.1125,-122.2342,94592 94591 94589 94590
Garden Grove,CA,33.7787,-117.9601,92843 92840 92841 92844 92845 92842 92846
Lancaster,CA,34.6935,-118.1753,93535 93534 93536 93539 93584
Visalia,CA,36.3276,-119.3269,93277 93291 93292 93278 93279 93290
Palmdale,CA,34.5944,-118.1057,93591 93552 93551 93550 93590 93599
Santa Cruz,CA,36.9789,-122.0346,95065 95064 95060 95062 95061 95063 95067
Merced,CA,37.3057,-120.4779,95348 95340 95341 95343
Hayward,CA,37.6328,-122.0766,94541 94542 94544 94545 94587 94540 94543 94557
Corona,CA,33.8616,-117.5649,92882 92880 92881 92879 92877 92878
Sunnyvale,CA,37.3836,-122.0255,94085 94086 94087 94089 94088
Roseville,CA,38.7703,-121.3196,95661 95747 95678
Fairfield,CA,38.2583,-122.0335,94533 94534 94535
Escondido,CA,33.1348,-117.0723,92029 92025 92026 92027 92030 92033 92046
Pomona,CA,34.0585,-117.7626,91768 91766 91767 91769
Santa Maria,CA,34.9333,-120.4431,93454 93455 93458
Torrance,CA,33.8346,-118.3416,90277 90501 90503 90505 90504 90507 90508 90509 90510
Fullerton,CA,33.8841,-117.9279,92835 92833 92832 92831 92834 92836 92837 92838
Orange,CA,33.8038,-117.8218,92868 92869 92866 92867 92865 92856 92857 92863 92864
Pasadena,CA,34.1597,-118.139,91103 91101 91104 91125 91106 91107 91105 91102 91109 91110 91114 91115 91116 91117 91121 91123 91124 91126 91129 91182 91184 91188 91189 91199
Santa Clara,CA,37.3646,-121.968,95054 95050 95051 95053 95052 95055 95056
Yuba City,CA,39.1357,-121.6383,95991 95993
Simi Valley,CA,34.2663,-118.749,93063 93065 93062 93094 93099
Clovis,CA,36.8278,-119.683,93611 93612 93619 93613 93747
Redding,CA,40.5698,-122.365,96002 96003 96001
Berkeley,CA,37.8722,-122.276,94708 94707 94705 94704 94703 94702 94709 94710 94720 94701 94712
Seaside,CA,36.6224,-121.8199,93955
Gilroy,CA,37.0046,-121.5854,95020
Richmond,CA,37.9477,-122.3389,94530 94801 94803 94804 94805 94806 94802 94807 94808 94850
East Los Angeles,CA,34.0326,-118.1691,90063 90022 90023
Carlsbad,CA,33.1246,-117.2834,92008 92009 92011 92010 92013 92018
Downey,CA,33.9379,-118.1311,90242 90240 90241 90239
Murrieta,CA,33.5719,-117.1909,92563 92562
Costa Mesa,CA,33.6667,-117.9135,92626 92627 92628
Temecula,CA,33.4928,-117.1315,92590 92591 92592 92589 92593
San Buenaventura,CA,34.2741,-119.2314,93004 93001 93003 93002 93005 93006 93007 93009
Chico,CA,39.7578,-121.8161,95973 95926 95928 95929 95927 95976
West Covina,CA,34.0555,-117.9113,91792 91791 91790 91793
El Monte,CA,34.0739,-118.0291,91731 91733 91732 91734 91735
Menifee,CA,33.6909,-117.1849,92587 92586 92585 92584 92564
Jurupa Valley,CA,34.001,-117.4706,92509 91752 92519
Inglewood,CA,33.9566,-118.3444,90305 90304 90303 90302 90301 90306 90307 90308 90309 90311 90312
Burbank,CA,34.1879,-118.3235,91506 91504 91505 91502 91501 91503 91507 91508 91510 91521 91522 91523
El Cajon,CA,32.8017,-116.9604,92020 92021 92019
Rialto,CA,34.1175,-117.3892,92316 92376 92377
San Mateo,CA,37.5522,-122.3121,94404 94401 94402 94403 94497
Daly City,CA,37.6862,-122.4685,94015 94014 94016 94017
Vacaville,CA,38.3587,-121.9673,95687 95688
Norwalk,CA,33.9069,-118.0829,90650 90651 90652
Hesperia,CA,34.3975,-117.3147,92345 92344 92340
Vista,CA,33.1896,-117.2386,92084 92083 92081 92085
